Term	Category
sidewalk	Route
disobedience	Vice
football	Ritual
age	TimeSpc
material	SureLw
edible	IndAdj
observation	EnlTot
voyage	Travel
priceless	IndAdj
medical	WlbTot
silly	EVAL
electronics	Doctrin
somewhere	TimeSpc
stroke	IAV
gentle	PosAff
obsolete	IndAdj
consolation	PowTot
inspiration	EnlTot
freight	WltTot
climb	IAV
issuance	FormLw
thy	You
soviet	Nation
earner	WltTot
allusion	FormLw
sing	FormLw
benefit	FormLw
dogma	PowTot
cuba	PowTot
composite	Quality
vital	EndsLw
procrastinate	IAV
perfume	Quality
lucky	EndsLw
erode	DAV
short	TimeSpc
forty	CARD
disadvantage	EndsLw
frog	ANI
awake	DAV
moody	IndAdj
impossibility	EndsLw
racer	HU
whisper	FormLw
dissension	NegAff
indeterminate	IndAdj
consult	EnlTot
navigation	Source
invisible	IndAdj
tea	Food
university	EnlTot
creation	EndsLw
appropriation	FormLw
chain	IAV
sample	IAV
cleanse	DAV
wane	IAV
preparation	Vary
carefree	IndAdj
forward	TimeSpc
dryer	Tool
devious	IndAdj
mistreatment	RcTot
confirm	SureLw
opponent	PowTot
immigrant	PtLw
ring	DAV
transport	WltTot
fruition	Complet
stood	TranLw
wail	IAV
zenith	PLACE
exotic	IndAdj
gratuitous	IndAdj
fellow	AffTot
optimistic	EndsLw
cheque	WltTot
pilgrimage	RcTot
reception	Ritual
unsteady	If
wanton	NegAff
gasket	Tool
intelligence	EnlTot
entangle	IAV
nurse	SklTot
apt	Ovrst
admittance	Travel
jerk	NegAff
outrage	RcTot
burma	Nation
forget	EnlTot
vigour	Source
secretary	SklTot
disarm	IAV
squall	Sky
flagrant	IndAdj
discharge	TranLw
name	FormLw
abatement	Source
berserk	IndAdj
defeat	PowTot
catholic	RcTot
fraction	Quan
circulation	Travel
incompatible	PowTot
centre	Source
outreach	IAV
plus	Quan
onto	Space
rag	Tool
respite	Stay
guarantee	FormLw
competent	SklTot
dear	SureLw
idea	EnlTot
intrust	TranLw
diagnosis	EnlTot
concept	EnlTot
fit	WlbTot
inspect	EnlTot
scrawl	IAV
busy	Virtue
diet	WlbTot
seal	TranLw
least	SureLw
gallon	Quan
questionnaire	EnlTot
jar	TranLw
lonesome	IPadj
photographic	ComnObj
discreet	Virtue
genial	PosAff
subjective	Know
cocktail	Food
document	COM
hydrogen	NatrPro
affection	AffTot
people	ArenaLw
full	Quan
avert	If
famished	IndAdj
i	Self
stud	HU
allegation	FormLw
unleash	PowTot
minority	PowTot
brotherly	IPadj
guild	PowTot
table	EnlTot
inform	EnlTot
pea	Food
regard	EnlTot
taut	Quality
enjoyable	WlbTot
opposite	PowTot
statute	FormLw
maximum	Quan
neighbourhood	Source
distract	EnlTot
hustle	IAV
position	PowTot
discomfort	WlbTot
allotment	PowTot
mongolia	Nation
delight	WlbTot
prominence	Eval@
tank	Vehicle
forceful	PowTot
sensory	EnlTot
list	TranLw
coexistence	PowTot
twist	TranLw
what	Intrj
undo	TrnLoss
commotion	Ovrst
find	EnlTot
amenity	Object
yourselves	You
nervous	WlbTot
by	Means
opposition	PowTot
honor	RspTot
childish	RspTot
electronic	Tool
indisputable	SureLw
deficit	WltTot
lord	RspTot
photo	COM
budget	WltTot
hunger	WlbTot
obedience	Active
pout	SV
cogent	IndAdj
recede	IAV
expire	IAV
belly	BodyPt
verification	EnlTot
inexact	Negate
naughty	IndAdj
check	WltTot
concurrent	TimeSpc
beat	PowTot
consistency	Virtue
appeal	FormLw
abolition	TranLw
barrel	Tool
quite	SureLw
harness	DAV
fuel	Tool
substance	MeansLw
night	TimeSpc
phenomena	Know
fitness	NatrPro
vulnerability	PowTot
canoe	Vehicle
absorption	Increas
orleans	Name
acute	SureLw
unfinished	IAV
murder	TrnLoss
expansion	EndsLw
cake	Food
tempest	NatrPro
ore	WltTot
pervert	HU
twentieth	Source
dissemination	EnlTot
clarify	EnlTot
dissatisfy	IAV
malice	NegAff
weu	Source
aggravate	PowTot
fashion	SklTot
facial	BodyPt
irritation	NegAff
widower	AffTot
immense	Space
lifetime	TimeSpc
pomp	Ritual
assembly	PowTot
similar	Rel
scandal	RcTot
timber	WltTot
warmhearted	IndAdj
franchise	PowTot
suicidal	WlbTot
sinister	NegAff
austere	IndAdj
engine	WltTot
equipment	MeansLw
swore	RspTot
acceptance	PosAff
cameroon	Nation
estimate	FormLw
heater	Tool
disguise	Object
gate	BldgPt
texas	Name
wealthy	WltTot
possibly	If
testament	RcTot
unlikely	Negate
portable	IndAdj
imaginary	Know
obstruction	Stay
waterfront	Social
principle	RcTot
agony	NegAff
patronage	PowTot
emphasize	SureLw
persuasive	IPadj
decimal	Quan
pencil	COM
acknowledgment	RspTot
maintain	EnlTot
calcium	NatObj
strike	NegAff
pitiful	IPadj
suppose	EnlTot
shriek	DAV
delusion	EnlTot
population	WltTot
to	IAV
whatsoever	Intrj
resent	NegAff
rampant	Vice
enclose	IAV
versatility	Vary
technology	SklTot
feeble	NegAff
men	PtLw
flint	NatObj
unseen	IndAdj
eec	Source
pursuer	PtLw
sanction	FormLw
agitation	PowTot
cheapen	IAV
swift	Time@
thieves	RcTot
bathe	DAV
backwardness	WltTot
defence	PowTot
chat	Source
proposition	FormLw
seldom	TimeSpc
sizable	DIM
pointer	COM
specify	TranLw
meager	IndAdj
curtail	IAV
extension	Space
thee	You
kidney	BodyPt
compassion	PosAff
lawful	PowTot
populate	WltTot
boisterous	IndAdj
cooperate	PowTot
stubbornness	Stay
gracious	SklTot
conference	EnlTot
successive	Persist
stubborn	EVAL
worry	WlbTot
resound	IAV
arrange	TranLw
department	WltTot
promoter	PowTot
mechanism	Tool
tone	Quality
diseased	IndAdj
strove	TranLw
very	SureLw
elector	PowTot
armed	PowTot
fanatic	Need
protracted	TimeSpc
exportation	WltTot
week	TimeSpc
incline	TranLw
launch	TranLw
agriculture	WltTot
chief	PtLw
lung	WlbTot
strenuous	PowTot
delicacy	Quality
taint	IAV
assignment	PowTot
reputable	RspTot
quandary	If
exclusion	SocRel
touch	FormLw
reality	EnlTot
hectic	IndAdj
curse	FormLw
ma	AffTot
treasonous	IPadj
shortcoming	Vice
pay	TrnGain
concede	PowTot
stamp	TranLw
viewer	HU
notable	RspTot
outcry	ComForm
avenue	Route
usa	Source
stupidity	Vice
frighten	WlbTot
social	ArenaLw
humour	Source
streak	Quality
regime	PowTot
zero	CARD
teacher	EnlTot
forest	WltTot
velocity	Time@
bristle	IAV
artistic	SklTot
arabia	Nation
michigan	Source
swimmer	HU
devout	IndAdj
mission	EndsLw
safeguard	PowTot
grim	NegAff
actor	PowTot
formality	Ought
nest	AffTot
tuesday	TimeSpc
solidarity	PowTot
paid	Source
capsize	IAV
borne	TranLw
accumulation	TranLw
conclusion	TimeSpc
commemoration	Ritual
contradiction	ComForm
keen	PosAff
wisdom	EnlTot
fidget	IAV
children	WlbTot
are	SV
forgiveness	RcTot
jointly	PowTot
unexpectedly	Eval@
gay	WlbTot
anymore	TimeSpc
pool	TranLw
stretch	TimeSpc
flatness	Space
drizzle	DAV
dog	ANI
endorse	PowTot
toll	FormLw
towering	DIM
conserve	MeansLw
fiery	IndAdj
airplane	Vehicle
deservedly	Ought
hesitant	If
municipality	PowTot
rosy	IndAdj
corrosion	Decreas
drip	DAV
superstition	Perceiv
cave	PowTot
avenge	PowTot
deluge	Ovrst
plaintiff	ComForm
yield	PowTot
unlike	IndAdj
blatant	IndAdj
normal	EVAL
disagreeable	PowTot
prey	ANI
probability	ABS
steppes	Region
prudent	EnlTot
succumb	IAV
cottage	Social
rocky	Quality
eater	WlbTot
anew	FREQ
sovereignty	PowTot
behalf	Virtue
incident	Time@
ability	MeansLw
changeable	Vary
commencement	EndsLw
nag	NegAff
purple	COLOR
prevention	IAV
restriction	PowTot
ultimate	Time@
intrigue	PowTot
reinstate	IAV
unconquerable	PowTot
partook	TranLw
dialect	FormLw
magnetic	IPadj
jest	IAV
convince	FormLw
confuse	If
criterion	EnlTot
elsewhere	TimeSpc
mutton	Food
read	FormLw
aden	Nation
hurtle	IAV
cadillac	RspTot
legislator	PowTot
large	DIM
comestible	IndAdj
card	Tool
sport	PosAff
treason	RcTot
seventeenth	Source
segment	Space
helpless	MeansLw
lain	Source
border	IAV
gall	EMOT
pleasantry	ComForm
sun	Sky
acquittal	Solve
energetic	WlbTot
message	FormLw
deploy	PowTot
hug	DAV
painstaking	IndAdj
proprietor	WltTot
confederation	SocRel
unjust	RcTot
troublesome	NegAff
thirteenth	Source
album	COM
arrogance	Vice
blood	WlbTot
uprising	Hostile
competence	SklTot
tropical	Region
triumphal	IndAdj
degree	FormLw
afflict	TrnLoss
imply	IAV
pulley	Tool
treacherous	Vice
decline	TrnLoss
tin	WltTot
tingle	IAV
interact	PowTot
fourteen	CARD
goat	ANI
stagger	IAV
cruel	NegAff
occupation	SklTot
end	TimeSpc
renounce	PowTot
veteran	PowTot
numerical	Quan
embitter	NegAff
augmentation	Increas
nor	NotLw
grizzly	IndAdj
contagious	IPadj
woman	PtLw
programme	Source
military	PowTot
tranquillity	PowTot
noticeable	EnlTot
negotiator	PowTot
nowhere	Region
bay	Aquatic
handle	PowTot
skilful	Source
stick	NegAff
selective	PowTot
cylinder	Tool
parallel	POS
utterly	SureLw
tactic	Means
pioneer	EnlTot
province	PowTot
representative	PowTot
hard	If
window	Source
retirement	WltTot
despise	NegAff
formal	RspTot
snack	Food
rodent	ANI
theft	RcTot
leave	FormLw
management	WltTot
upward	Space
still	TimeSpc
vocational	SklTot
coffin	WlbTot
inject	Source
density	Quality
surface	TimeSpc
immigration	Source
necessarily	Causal
brusque	IPadj
hobble	IAV
filly	ANI
motorist	PtLw
rumple	IAV
healthful	IndAdj
ecuador	Nation
mayor	PowTot
correspondence	FormLw
qualm	Feel
post	EnlTot
abstraction	EnlTot
chest	BodyPt
reunite	IAV
unbelievable	EnlTot
reference	FormLw
unhappy	WlbTot
rivalry	SocRel
key	EnlTot
employer	WltTot
flair	Virtue
wretch	IAV
reputation	RspTot
undertaker	HU
vigorous	WlbTot
continuum	Space
erosion	Decreas
prohibition	PowTot
weakness	PowTot
feast	WlbTot
diversion	Perceiv
consensus	PowTot
neighbour	Source
stress	IAV
wooden	Quality
file	IAV
rhinoceros	ANI
improve	TrnGain
establishment	PowTot
premier	Begin
devote	AffTot
friendliness	AffTot
challenge	EndsLw
hypocrite	ComForm
slug	ANI
stalin	PowTot
gotten	Source
mode	Means
choke	DAV
greet	FormLw
pervade	Source
limitless	TimeSpc
forlorn	IndAdj
why	EnlTot
philosophy	EnlTot
closeness	Space
saga	FormLw
satisfaction	WlbTot
explanation	FormLw
hence	Causal
miller	WltTot
highway	WltTot
pond	Source
grow	TranLw
related	EnlTot
texture	Quality
sedan	Vehicle
variation	ABS
mississippi	Source
commodious	IPadj
inviolable	RcTot
parental	AffTot
proposal	FormLw
peacock	ANI
reverence	RspTot
persuasion	PowTot
geographical	Space
math	EnlTot
insurance	MeansLw
fracture	IAV
invariable	Negate
policeman	PowTot
mortality	WlbTot
radio	COM
durable	WlbTot
outlook	EndsLw
ash	NatObj
stimulate	IAV
goodbye	Intrj
commuter	PtLw
slim	DIM
trout	ANI
bosom	WlbTot
untrue	Negate
schoolroom	EnlTot
unique	SureLw
publicity	FormLw
shrewdness	Know
supremacy	PowTot
thought	Source
major	EnlTot
permit	PowTot
vocabulary	FormLw
past	TimeSpc
direct	TimeSpc
usable	MeansLw
nullify	IAV
adultery	SocRel
synthesis	Rel
cancel	DAV
neck	BodyPt
athletic	Exprsv
facilitate	MeansLw
truant	IndAdj
biblical	RcTot
sprang	IAV
flesh	WlbTot
diligent	SklTot
federation	PowTot
category	EnlTot
distinct	EnlTot
risk	EndsLw
uncertainty	EnlTot
applicant	SklTot
condensation	NatrPro
questionable	Undrst
evacuation	TranLw
resident	PtLw
dignified	IndAdj
dusk	TimeSpc
assess	EnlTot
motive	EndsLw
several	Quan
code	FormLw
line	TranLw
wench	HU
hurtful	IPadj
sentence	FormLw
congratulation	FormLw
crept	DAV
indulge	IAV
affair	AffTot
product	SklTot
assistance	PowTot
risen	Source
unfit	NegAff
barbarian	HU
growl	IAV
sleepless	IndAdj
contain	DAV
demon	Vice
air	FormLw
heard	Source
lucrative	IndAdj
it	Source
hot	NegAff
jurisdiction	PowTot
stimulus	FormLw
hurry	IAV
taxi	Vehicle
butcher	HU
withhold	NegAff
sunday	TimeSpc
pathetic	IndAdj
natural	Causal
behind	TimeSpc
ireland	Nation
supporter	PowTot
mistrust	IAV
sunder	IAV
cognizant	IndAdj
fix	TranLw
disposal	PowTot
punishment	PowTot
inferior	NegAff
indicate	EnlTot
case	If
desire	EndsLw
fringe	Space
dilemma	If
front	TimeSpc
sunlight	Sky
swung	DAV
foster	TrnGain
superfluous	IndAdj
warmth	PosAff
route	TimeSpc
plausibility	Eval@
insist	TranLw
slacks	Tool
psychological	WlbTot
scrub	TranLw
bin	Tool
tomorrow	TimeSpc
therapeutic	IndAdj
standpoint	FormLw
unsuccessful	IndAdj
sacrifice	TrnLoss
haze	Sky
permission	FormLw
class	RspTot
gas	IAV
pig	ANI
evolutionary	Source
costly	WltTot
literally	Know
ingenuity	Know
earliest	TimeSpc
plausible	Virtue
trample	IAV
eradicate	IAV
undependable	Negate
ridiculous	RspTot
switzerland	Nation
goddess	RcTot
deepen	IAV
revitalize	IAV
burst	IAV
useful	PosAff
forever	TimeSpc
innocent	RcTot
next	TimeSpc
wash	DAV
planter	SklTot
subdue	PowTot
extravagance	MeansLw
legion	PowTot
absence	Know
affix	DAV
peer	RspTot
stock	WltTot
anxiousness	WlbTot
fervor	Feel
spank	DAV
drama	Ritual
their	Source
commemorate	IAV
stance	FormLw
lend	WltTot
tenth	Source
skyline	Sky
approximately	If
compose	SklTot
creator	RcTot
civic	PowTot
oak	NatObj
melt	DAV
poetic	SklTot
sponsor	IAV
undesirable	IndAdj
affectation	Vice
straight	Space
uganda	Nation
ail	SV
assumption	EnlTot
confidence	FormLw
annihilation	Finish
upbeat	IndAdj
fine	FormLw
enchantment	EMOT
pursuant	PowTot
insensible	IndAdj
supervision	PowTot
sale	WltTot
timid	Vice
director	PowTot
outsider	HU
oppressive	IndAdj
balance	PowTot
pastor	RcTot
virtuous	RcTot
journey	IAV
bituminous	Source
fortunate	PosAff
library	EnlTot
wood	WltTot
spain	Nation
dipper	Tool
geographic	PowTot
odour	Source
selfish	RspTot
typewriter	COM
angola	Nation
blameless	IndAdj
pend	If
issue	TranLw
provisional	Time@
unattractive	SklTot
row	DAV
conscientious	Virtue
beneficiary	HU
merger	Rel
fraught	IndAdj
thud	Perceiv
one	CARD
universal	SureLw
pretension	RcTot
inherit	DAV
consist	IAV
craft	ECON
availability	Virtue
worship	RcTot
validity	EnlTot
interdependence	PowTot
governor	PowTot
orator	PowTot
association	EnlTot
eat	WlbTot
lie	FormLw
state	ArenaLw
exempt	IndAdj
imagine	IAV
ledger	WltTot
adjust	TrnGain
resplendent	IndAdj
depart	DAV
genius	SklTot
substitute	TranLw
recurrent	FREQ
became	IAV
grape	Food
marvel	IAV
compliment	IAV
sea	Aquatic
defense	PowTot
pole	Space
founder	PtLw
indignation	EMOT
plea	FormLw
remuneration	WltTot
crossroad	Route
soft	Quality
achieve	EndsLw
shelves	Tool
tumble	TranLw
season	TimeSpc
fault	SklTot
everywhere	TimeSpc
railroad	Route
giver	PtLw
canyon	Land
accelerate	EndsLw
probe	Means
cellar	BldgPt
roommate	AffTot
fury	WlbTot
accuracy	EnlTot
halt	TranLw
indecision	If
spent	Source
lot	EndsLw
elegance	Virtue
tenacious	IndAdj
handicap	MeansLw
blithe	IndAdj
evolution	Vary
pretense	Fail
disadvantageous	EndsLw
rebuff	IAV
brandish	PowTot
adopt	PowTot
though	Source
administrator	PowTot
ordinance	FormLw
brutality	Ovrst
federal	PowTot
incest	AffTot
excite	WlbTot
open	TranLw
shy	EMOT
vigor	WlbTot
shapely	Quality
disapprove	RspTot
paste	IAV
absurd	Ovrst
labourer	Source
interpose	IAV
revaluation	WltTot
erect	TranLw
act	TranLw
brief	TimeSpc
reconstruct	TranLw
territory	PowTot
institution	PowTot
commerce	WltTot
antiquated	IPadj
revenue	WltTot
veritable	IndAdj
adept	SklTot
automatic	Tool
place	TimeSpc
firmness	Quality
believer	RcTot
propriety	RspTot
outlive	DAV
sloth	ANI
secession	Travel
grumble	NegAff
outlaw	RcTot
partition	IAV
ruthlessness	Hostile
ascertain	EnlTot
peasant	RspTot
practicable	SklTot
slanderous	IPadj
undisturbed	Source
stolen	RcTot
security	WltTot
override	PowTot
mention	FormLw
operate	TranLw
valuation	EndsLw
critical	EnlTot
male	PtLw
revolution	PowTot
completeness	ABS
indefinite	If
bid	PowTot
generality	EnlTot
proof	EnlTot
democracy	PowTot
mice	ANI
remarkable	SureLw
shove	DAV
decay	DAV
here	TimeSpc
resume	TranLw
humiliation	EMOT
before	TimeSpc
quibble	IAV
unremitting	Source
restaurant	Social
concentration	EnlTot
faithfulness	Virtue
stadium	Social
moan	DAV
insult	RspTot
delay	TranLw
melody	FormLw
dawdle	IAV
senseless	IndAdj
suppress	PowTot
fade	IAV
conservatism	PowTot
visualization	Perceiv
seamen	SklTot
inexpedient	EndsLw
naive	EnlTot
zeal	AffTot
believe	EnlTot
sad	WlbTot
kindred	AffTot
process	IAV
house	WlbTot
landmark	Land
calculate	EnlTot
debtor	WltTot
vouchsafe	IAV
you	You
congressional	PowTot
leaf	NatrPro
naked	Quality
alien	HU
hurt	WlbTot
slime	Object
hatred	NegAff
rough	TimeSpc
drunken	WlbTot
discovery	EnlTot
index	COM
stalemate	Stay
irony	Undrst
wasteful	IndAdj
disposition	WlbTot
err	IAV
or	Know
nevada	Source
represent	PowTot
pandemonium	Anomie
shook	Source
cord	Tool
grower	WltTot
mediterranean	PowTot
core	Space
drunk	WlbTot
whom	PtLw
share	PowTot
gazette	EnlTot
society	ArenaLw
currency	WltTot
autumn	TimeSpc
beacon	EnlTot
survive	WlbTot
eyelid	BodyPt
poignant	IndAdj
ant	ANI
fearsome	IndAdj
junta	PowTot
rocker	Tool
morale	Think
weight	PowTot
more	Quan
limb	BodyPt
insinuate	RspTot
capable	MeansLw
posture	ArenaLw
purposeful	IndAdj
hair	IAV
wonder	If
drown	WlbTot
apologetic	IPadj
manipulate	PowTot
brittle	IndAdj
motionless	IndAdj
muscular	PowTot
compress	IAV
lioness	ANI
dessert	WlbTot
oblique	IndAdj
review	EnlTot
wartime	PowTot
collaborate	IAV
diligence	SklTot
autocratic	IPadj
surrender	PowTot
clatter	ComForm
effort	EndsLw
specific	Know
despair	Anomie
informal	RspTot
pink	COLOR
ambulance	WlbTot
knelt	RspTot
invariably	SureLw
fraternal	AffTot
godlike	IndAdj
have	RcTot
today	TimeSpc
unbroken	IndAdj
debt	WltTot
darling	AffTot
metropolis	PowTot
bright	PosAff
hate	NegAff
back	TimeSpc
marble	NatObj
domestic	PowTot
dwindle	IAV
prodigy	Know
gigantic	Quan
start	EndsLw
exceptional	SureLw
cheap	WltTot
awaken	Source
qualify	SklTot
real	SureLw
brazen	IndAdj
plastic	Tool
delude	EnlTot
implicate	RcTot
surmise	IAV
beautify	IAV
ludicrous	IndAdj
survey	EnlTot
jubilant	WlbTot
wilt	IAV
comprise	IAV
electoral	PowTot
stink	IAV
banishment	SocRel
civility	Virtue
chapter	FormLw
din	ComForm
creative	EndsLw
dwell	DAV
hopeful	EndsLw
shatter	TranLw
suave	IPadj
uninformed	IndAdj
ever	TimeSpc
impotent	MeansLw
betroth	IAV
avoid	If
rhythm	TimeSpc
formidable	Vice
stair	BldgPt
sent	DAV
duration	TimeSpc
allies	HU
error	SklTot
irregularity	Negate
psychologist	EnlTot
non	NotLw
pressure	PowTot
portrait	COM
turmoil	Vice
northern	TimeSpc
brain	EnlTot
satisfy	TrnGain
heritage	AffTot
ambiguous	If
hamper	TrnLoss
profiteer	WltTot
economist	WltTot
push	PowTot
discuss	EnlTot
planner	SklTot
enrage	IAV
alright	Intrj
celebration	RspTot
imagination	SklTot
title	FormLw
huge	DIM
willingness	PowTot
envisage	EnlTot
gaudy	Quality
poverty	WltTot
decency	RcTot
enrolment	Source
ding	RcTot
inhabitant	PowTot
free	PowTot
fiftieth	Source
salutary	PosAff
extinct	WlbTot
art	SklTot
enlarge	TrnGain
compulsory	PowTot
invalid	EnlTot
secret	FormLw
fence	IAV
liberate	RcTot
culminate	IAV
hostility	PowTot
yoke	PowTot
adaptable	IndAdj
midst	TimeSpc
demonstration	EnlTot
offensive	IndAdj
depress	Anomie
piano	Tool
borrow	WltTot
boundless	IndAdj
serum	WlbTot
steadfast	Persist
speculate	EnlTot
paramount	SureLw
tune	FormLw
unsurpassable	PosAff
hilly	Land
countless	SureLw
whereby	Causal
sagacity	Know
unabated	Source
nobody	PtLw
imitation	SocRel
scottish	Nation
complexity	EnlTot
chinese	Nation
marital	AffTot
flown	IAV
reform	PowTot
somehow	Means
sporadic	FREQ
hardship	WlbTot
uppermost	Space
flirt	IAV
relaxation	WlbTot
egg	WlbTot
procedure	ABS
ravage	TrnLoss
aggregation	Quan
livestock	WltTot
absurdity	Vice
moment	TimeSpc
resolved	IndAdj
vicious	NegAff
grass	NatObj
enrichment	Increas
eleven	CARD
rascal	RspTot
aboard	Space
distinguish	EnlTot
extrapolation	Know
meek	IndAdj
dean	EnlTot
aggregate	Quan
hull	Tool
elephant	ANI
peaceable	PowTot
resentment	NegAff
duplication	Know
submerge	IAV
part	If
element	Know
hunter	SklTot
wage	TranLw
comer	HU
stable	MeansLw
lebanon	Nation
metaphysical	Relig
notwithstanding	Know
thoughtfulness	Think
burglary	Fetch
coordinate	PowTot
toss	TranLw
demolish	TranLw
edc	Source
puzzlement	EnlTot
allowance	WltTot
forth	TimeSpc
gruff	IndAdj
exception	PowTot
proceed	EndsLw
nigger	HU
entry	BldgPt
boxer	SklTot
furniture	Tool
shelter	WlbTot
attendant	PtLw
equilibrium	Persist
intellectual	EnlTot
kick	TrnLoss
bountiful	WltTot
discipline	RcTot
hardtack	Food
dissent	Vice
humiliate	NegAff
venerate	IAV
upstairs	BldgPt
slip	DAV
deficient	IndAdj
palatable	IndAdj
alcoholic	WlbTot
indictment	FormLw
discount	IAV
subscription	COLL
cohesion	Rel
history	EnlTot
coarseness	Quality
accomplishment	EndsLw
socialist	PowTot
mediation	PowTot
parliament	PowTot
renaissance	Increas
jeep	Vehicle
complementary	IndAdj
abhor	SV
senegal	Nation
poison	Object
new	FormLw
physician	WlbTot
shameless	IPadj
stunt	Vice
shred	IAV
stormy	IndAdj
offender	RcTot
adulation	Eval@
topic	FormLw
cohort	COLL
weep	WlbTot
driveway	Route
hygiene	Positiv
truthful	RcTot
this	Source
heroine	RspTot
bible	RcTot
telegraph	FormLw
plasticity	Quality
assassination	PowTot
board	FormLw
weigh	TranLw
considerable	SureLw
radar	Tool
gland	WlbTot
boost	TrnGain
misery	WlbTot
commend	RspTot
appreciable	Perceiv
unshaken	SureLw
lone	AffTot
quarter	TimeSpc
eager	PosAff
brace	IAV
sociological	Doctrin
astute	IndAdj
foe	PowTot
pitch	DAV
attachment	PosAff
except	Know
dissatisfied	Anomie
strain	TranLw
peony	NatObj
indian	Nation
disable	IAV
tailor	IAV
indescribable	IndAdj
niche	PLACE
servant	SklTot
eventual	Time@
sheep	ANI
resumption	Begin
gloom	Anomie
object	EndsLw
structure	TranLw
confident	WlbTot
overlap	Source
astronomical	Quan
allure	Virtue
exploration	EnlTot
plight	EMOT
adjacent	TimeSpc
withdrew	PowTot
ostensibly	EnlTot
elemental	Know
admissible	FormLw
offend	RspTot
main	SureLw
unfortunate	EndsLw
animosity	NegAff
justice	RcTot
october	TimeSpc
freshmen	EnlTot
gulf	Aquatic
concern	EnlTot
stand	SureLw
unbearable	IPadj
visitor	EnlTot
tnt	PowTot
taunt	FormLw
brute	HU
facility	MeansLw
favorite	AffTot
favor	PosAff
italian	Nation
edge	WlbTot
ninth	Source
stove	Tool
provoke	PowTot
peaceful	PowTot
indication	Know
phase	Time@
sold	EnlTot
dead	WlbTot
enunciate	EnlTot
science	FormLw
necessary	SureLw
soar	IAV
nothing	NotLw
unreliability	Negate
stake	Means
kenya	Nation
sweetheart	HU
quicken	IAV
ethos	Source
decorate	IAV
knocker	Tool
premium	IndAdj
gratification	TrnGain
occasion	TimeSpc
jaw	BodyPt
deem	IAV
monstrous	Ovrst
reckless	RspTot
license	COM
dunce	HU
insect	ANI
help	MeansLw
continental	Region
ethics	RcTot
gross	NegAff
harmful	WlbTot
bleed	WlbTot
blemish	Vice
inexcusable	NegAff
joyous	WlbTot
producer	WltTot
movable	Means
inhibition	WlbTot
solicitor	PowTot
arisen	IndAdj
imposition	PowTot
yonder	TimeSpc
northwest	TimeSpc
prussian	Nation
square	TimeSpc
bereft	HU
patent	COM
charm	SklTot
crafty	IndAdj
hedge	If
unaltered	Source
pleasant	PosAff
visionary	Know
classic	TimeSpc
confederate	PowTot
coddle	IAV
extensive	SureLw
player	SklTot
slender	WlbTot
babble	DAV
aide	PowTot
doll	PtLw
kidnap	IAV
remedy	WlbTot
permanent	TimeSpc
aggressive	PowTot
vague	EnlTot
disunion	PowTot
monument	RspTot
cookie	Food
scientific	EnlTot
sweeten	IAV
collusion	IAV
call	FormLw
parkway	Route
citizen	PowTot
mystic	RcTot
lavish	IndAdj
constitutional	POLIT
disease	WlbTot
cherub	HU
haggard	IndAdj
doom	IAV
confound	TrnLoss
stubbornly	IndAdj
immorality	Eval@
jewish	RcTot
anyway	Undrst
weird	IndAdj
queen	RspTot
passe	IndAdj
gray	COLOR
streamer	Tool
sorrowful	IndAdj
deprive	TrnLoss
attend	EnlTot
accomplish	EndsLw
voter	PowTot
promptly	Ovrst
commercial	WltTot
threat	EndsLw
relative	AffTot
framework	TimeSpc
innovate	IAV
glad	WlbTot
repulsive	NegAff
relentless	Vice
fail	SklTot
balmy	IndAdj
revelation	Solve
tariff	WltTot
friday	TimeSpc
verse	COM
earth	SureLw
era	TimeSpc
other	TimeSpc
accept	PosAff
squander	IAV
transit	Travel
melancholy	WlbTot
sworn	PowTot
articulate	FormLw
destruction	TrnLoss
station	PowTot
primarily	IndAdj
dress	DAV
gesture	FormLw
anchor	IAV
arouse	Source
dahomey	Nation
elapse	TimeSpc
haunt	IAV
marsh	Land
useless	NegAff
label	EnlTot
implication	EndsLw
slipper	Tool
ladder	Tool
bet	FormLw
likelihood	Causal
tunnel	Route
dote	IAV
generalise	Source
destiny	EndsLw
constitution	PowTot
restless	WlbTot
bitter	WlbTot
aggrieve	SV
county	PowTot
cooperation	PowTot
first	TimeSpc
whole	If
convenient	PosAff
harassment	Exert
atrophy	TrnLoss
mentality	EnlTot
unusual	SureLw
infant	WlbTot
ignore	EnlTot
adventure	Travel
festive	IndAdj
postpone	If
depose	IAV
march	TimeSpc
war	PowTot
an	Source
incompetence	SklTot
june	TimeSpc
ugh	Intrj
foot	TimeSpc
tiresome	IndAdj
content	TrnGain
covert	IndAdj
salt	Food
mill	Anomie
inflict	PowTot
as	Quan
forthwith	TimeSpc
shameful	IPadj
overly	Quan
circle	TimeSpc
permanence	Source
stay	DAV
bed	IAV
overture	Virtue
complicity	Vice
grace	Relig
oppression	PowTot
preferable	PosAff
violation	RcTot
article	FormLw
congested	IndAdj
evidence	EnlTot
enthusiastic	PosAff
persevere	RcTot
deer	ANI
assist	PowTot
discord	PowTot
assault	PowTot
emphatic	SureLw
embarrassed	TrnLoss
haggle	PowTot
frozen	Quality
impulsive	IndAdj
massive	DIM
unrest	Vary
gravest	Source
minnesota	Source
donate	DAV
pretend	TranLw
supportive	IPadj
butter	Food
anger	WlbTot
forsake	IAV
blow	PowTot
payroll	WltTot
sweep	TranLw
colorful	COLOR
